year,geo_name,geo,birthplace_name,birthplace,num_over5,num_over5_moe,num_over5_rca
2015,"Massachusetts","04000US25","Other Europe - Not Specified","169",759,213.506,0.899699
2015,"Massachusetts","04000US25","Afghanistan","200",576,280.369,0.382032
2015,"Massachusetts","04000US25","Bangladesh","202",3020,932.837,0.678641
2015,"Massachusetts","04000US25","Bhutan","203",1144,554.198,1.43092
2015,"Massachusetts","04000US25","Myanmar","205",1908,598.661,0.759997
2015,"Massachusetts","04000US25","Cambodia","206",15812,1459.91,4.53066
2015,"Massachusetts","04000US25","China","207",82272,2928.45,2.06029
2015,"Massachusetts","04000US25","Cyprus","208",74,81.846,0.410831
2015,"Massachusetts","04000US25","Hong Kong","209",7809,822.955,1.54743
2015,"Massachusetts","04000US25","India","210",58501,2473.46,1.30152
2015,"Massachusetts","04000US25","Indonesia","211",1679,385.023,0.817703
2015,"Massachusetts","04000US25","Iran","212",4941,869.998,0.606163
2015,"Massachusetts","04000US25","Iraq","213",2944,868.887,0.726459
2015,"Massachusetts","04000US25","Israel","214",4760,809.827,1.45609
2015,"Massachusetts","04000US25","Japan","215",9250,1014.09,0.837701
2015,"Massachusetts","04000US25","Jordan","216",1134,348.342,0.707898
2015,"Massachusetts","04000US25","Korea","217",18879,1183.17,0.772401
2015,"Massachusetts","04000US25","Kazakhstan","218",927,348.874,1.6005
2015,"Massachusetts","04000US25","Kuwait","222",640,251.565,1.04497
2015,"Massachusetts","04000US25","Laos","223",2763,586.507,0.671201
2015,"Massachusetts","04000US25","Lebanon","224",8019,1310.38,2.98095
2015,"Massachusetts","04000US25","Malaysia","226",1694,383.109,1.21115
2015,"Massachusetts","04000US25","Nepal","229",4585,897.0,2.22012
2015,"Massachusetts","04000US25","Pakistan","231",4762,870.0,0.632581
2015,"Massachusetts","04000US25","Philippines","233",11530,1343.14,0.26553
2015,"Massachusetts","04000US25","Saudi Arabia","235",3052,750.59,1.60603
2015,"Massachusetts","04000US25","Singapore","236",1392,360.654,1.74756
2015,"Massachusetts","04000US25","Sri Lanka","238",1958,473.027,1.89844
2015,"Massachusetts","04000US25","Syria","239",2761,573.334,1.60499
2015,"Massachusetts","04000US25","Taiwan","240",8170,1048.86,0.997608
2015,"Massachusetts","04000US25","Thailand","242",5498,836.251,1.00349
2015,"Massachusetts","04000US25","Turkey","243",5145,792.231,1.94567
2015,"Massachusetts","04000US25","United Arab Emirates","245",963,593.319,3.18889
2015,"Massachusetts","04000US25","Uzbekistan","246",1026,394.255,0.840643
2015,"Massachusetts","04000US25","Vietnam","247",37239,2235.6,1.31324
2015,"Massachusetts","04000US25","Yemen","248",14,20.1806,0.0130491
2015,"Massachusetts","04000US25","Asia","249",760,272.668,0.69605
2015,"Massachusetts","04000US25","Eastern Asia, Not Specified","251",38,47.7447,0.674535
2015,"Massachusetts","04000US25","South Central Asia - Not Specified","253",1069,376.591,2.33214
2015,"Massachusetts","04000US25","Other Asia - Not Specified","254",528,208.335,0.804237
2015,"Massachusetts","04000US25","Bermuda","300",830,261.624,2.4229
2015,"Massachusetts","04000US25","Canada","301",35210,1953.66,1.74407
2015,"Massachusetts","04000US25","Mexico","303",14238,1515.21,0.056219
2015,"Massachusetts","04000US25","Belize","310",282,148.875,0.257983
2015,"Massachusetts","04000US25","Costa Rica","311",1730,554.262,0.925597
2015,"Massachusetts","04000US25","El Salvador","312",35176,2676.8,1.26519
2015,"Massachusetts","04000US25","Guatemala","313",29430,2466.73,1.51338
2015,"Massachusetts","04000US25","Honduras","314",10366,1326.67,0.870001
2015,"Massachusetts","04000US25","Nicaragua","315",1049,323.266,0.19189
2015,"Massachusetts","04000US25","Panama","316",2270,532.851,0.697876
2015,"Massachusetts","04000US25","Antigua & Barbuda","321",469,258.333,0.996767
2015,"Massachusetts","04000US25","Bahamas","323",208,105.544,0.270278
2015,"Massachusetts","04000US25","Barbados","324",4297,839.03,3.76436
2015,"Massachusetts","04000US25","Cuba","327",3455,576.572,0.138525
2015,"Massachusetts","04000US25","Dominica","328",1948,625.892,3.00106
2015,"Massachusetts","04000US25","Dominican Republic","329",81841,3251.65,3.76632
2015,"Massachusetts","04000US25","Grenada","330",545,248.883,0.761513
2015,"Massachusetts","04000US25","Haiti","332",52437,2463.68,3.82028
2015,"Massachusetts","04000US25","Jamaica","333",16482,1650.2,1.0625
2015,"Massachusetts","04000US25","St. Kitts-Nevis","338",101,86.9706,2.33176
2015,"Massachusetts","04000US25","St. Lucia","339",221,116.661,0.452662
2015,"Massachusetts","04000US25","St. Vincent & the Grenadines","340",547,289.726,1.05133
2015,"Massachusetts","04000US25","Trinidad & Tobago","341",6004,786.692,1.18799
2015,"Massachusetts","04000US25","West Indies","343",1276,368.427,1.87837
2015,"Massachusetts","04000US25","Caribbean- Not Specified","344",1888,442.421,2.4363
2015,"Massachusetts","04000US25","Argentina","360",3279,614.809,0.84747
2015,"Massachusetts","04000US25","Bolivia","361",1230,445.609,0.72447
2015,"Massachusetts","04000US25","Brazil","362",61232,3586.44,8.01966
