year,geo_name,geo,income_below_poverty,pop_poverty_status,income_below_poverty,income_below_poverty_moe,pop_poverty_status,pop_poverty_status_moe
2015,"Carr 3 (Noreste) PUMA, PR","79500US7201101",54682.0,129379.0,54682.0,1962.0,129379.0,434.0
2013,"Brazos County--College Station & Bryan Cities PUMA, TX","79500US4803602",54587.0,183010.0,54587.0,2056.0,183010.0,1113.0
2014,"Morris Heights, Fordham South & Mount Hope PUMA, NY","79500US3603707",54496.0,130984.0,54496.0,2623.0,130984.0,2445.0
2014,"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA","79500US0603745",54462.0,120192.0,54462.0,2768.0,120192.0,2667.0
2015,"Washington Heights, Inwood & Marble Hill PUMA, NY","79500US3603801",54086.0,212676.0,54086.0,3330.0,212676.0,3573.0
2015,"Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA, IL","79500US1703528",53983.0,144840.0,53983.0,2724.0,144840.0,2929.0
2014,"Borough Park, Kensington & Ocean Parkway PUMA, NY","79500US3604014",53976.0,165885.0,53976.0,2631.0,165885.0,3040.0
2014,"Webb County--Laredo City (Central) PUMA, TX","79500US4806301",53957.0,135790.0,53957.0,2345.0,135790.0,1936.0
2013,"Morris Heights, Fordham South & Mount Hope PUMA, NY","79500US3603707",53913.0,131836.0,53913.0,2720.0,131836.0,2548.0
2013,"Washington Heights, Inwood & Marble Hill PUMA, NY","79500US3603801",53858.0,207455.0,53858.0,2656.0,207455.0,3829.0
2013,"LA City (East Central/Central City & Boyle Heights) PUMA, CA","79500US0603744",53718.0,154033.0,53718.0,2108.0,154033.0,2590.0
2015,"LA City (South Central/Westmont) PUMA, CA","79500US0603750",53700.0,171188.0,53700.0,2788.0,171188.0,2803.0
2015,"Tulare County (Outside Visalia, Tulare & Porterville Cities) PUMA, CA","79500US0610703",53638.0,159758.0,53638.0,2237.0,159758.0,1534.0
2015,"Concourse, Highbridge & Mount Eden PUMA, NY","79500US3603708",53605.0,139210.0,53605.0,2835.0,139210.0,2753.0
2013,"Webb County--Laredo City (Central) PUMA, TX","79500US4806301",53549.0,135539.0,53549.0,2374.0,135539.0,1899.0
2015,"Borough Park, Kensington & Ocean Parkway PUMA, NY","79500US3604014",53548.0,164812.0,53548.0,2560.0,164812.0,3474.0
2015,"Bakersfield City (Northeast) PUMA, CA","79500US0602903",53517.0,159504.0,53517.0,3103.0,159504.0,2430.0
2015,"Brazos County--College Station & Bryan Cities PUMA, TX","79500US4803602",53207.0,190716.0,53207.0,2151.0,190716.0,1260.0
2014,"Tulare County (Outside Visalia, Tulare & Porterville Cities) PUMA, CA","79500US0610703",53143.0,159087.0,53143.0,2646.0,159087.0,1848.0
2015,"Detroit City (South Central & Southeast) PUMA","79500US2603211",53027.0,123712.0,53027.0,2157.0,123712.0,2275.0
2014,"Concourse, Highbridge & Mount Eden PUMA, NY","79500US3603708",52994.0,139344.0,52994.0,2613.0,139344.0,2576.0
2015,"Castle Hill, Clason Point & Parkchester PUMA, NY","79500US3603709",52959.0,184889.0,52959.0,3008.0,184889.0,3158.0
2013,"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA","79500US0603745",52941.0,118223.0,52941.0,2381.0,118223.0,2440.0
2015,"Webb County--Laredo City (Central) PUMA, TX","79500US4806301",52733.0,134828.0,52733.0,2356.0,134828.0,1995.0
2015,"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA","79500US0603745",52674.0,120965.0,52674.0,2021.0,120965.0,2254.0
2013,"Caguas Municipio PUMA, PR","79500US7201001",52659.0,141001.0,52659.0,1948.0,141001.0,172.0
2014,"Bakersfield City (Northeast) PUMA, CA","79500US0602903",52579.0,157833.0,52579.0,2927.0,157833.0,2621.0
2014,"Brownsville City (Central) PUMA, TX","79500US4806703",52498.0,141824.0,52498.0,2599.0,141824.0,1752.0
2015,"Caguas Municipio PUMA, PR","79500US7201001",52367.0,137684.0,52367.0,2309.0,137684.0,142.0
2014,"Caguas Municipio PUMA, PR","79500US7201001",52281.0,139585.0,52281.0,1878.0,139585.0,143.0
2014,"Washington Heights, Inwood & Marble Hill PUMA, NY","79500US3603801",52224.0,210451.0,52224.0,3439.0,210451.0,3220.0
2014,"Castle Hill, Clason Point & Parkchester PUMA, NY","79500US3603709",52200.0,185126.0,52200.0,2605.0,185126.0,3267.0
2013,"Castle Hill, Clason Point & Parkchester PUMA, NY","79500US3603709",52168.0,183359.0,52168.0,3001.0,183359.0,3163.0
2014,"LA City (South Central/Westmont) PUMA, CA","79500US0603750",51934.0,168213.0,51934.0,2603.0,168213.0,3081.0
2015,"Richmond City PUMA, VA","79500US5151235",51828.0,203150.0,51828.0,2044.0,203150.0,1330.0
2014,"Detroit City (Northeast) PUMA","79500US2603210",51767.0,120786.0,51767.0,2246.0,120786.0,2452.0
2015,"Dayton & Riverside Cities PUMA, OH","79500US3904603",51668.0,161114.0,51668.0,2118.0,161114.0,1003.0
2013,"Brownsville City (Central) PUMA, TX","79500US4806703",51478.0,141365.0,51478.0,2788.0,141365.0,1683.0
2014,"Dayton & Riverside Cities PUMA, OH","79500US3904603",51402.0,160510.0,51402.0,2214.0,160510.0,1239.0
2014,"Richmond City PUMA, VA","79500US5151235",51295.0,200784.0,51295.0,2335.0,200784.0,1781.0
2015,"Center Township--Indianapolis City (Central) PUMA, IN","79500US1802305",51161.0,140454.0,51161.0,1722.0,140454.0,564.0
2013,"LA City (South Central/Westmont) PUMA, CA","79500US0603750",51059.0,168029.0,51059.0,2731.0,168029.0,3080.0
2013,"Borough Park, Kensington & Ocean Parkway PUMA, NY","79500US3604014",50999.0,162357.0,50999.0,2990.0,162357.0,3456.0
2013,"Dayton & Riverside Cities PUMA, OH","79500US3904603",50996.0,161208.0,50996.0,1975.0,161208.0,1070.0
2013,"Tulare County (Outside Visalia, Tulare & Porterville Cities) PUMA, CA","79500US0610703",50828.0,156707.0,50828.0,2674.0,156707.0,1577.0
2013,"Richmond City PUMA, VA","79500US5151235",50681.0,197932.0,50681.0,1882.0,197932.0,1093.0
2014,"Center Township--Indianapolis City (Central) PUMA, IN","79500US1802305",50626.0,139287.0,50626.0,2001.0,139287.0,765.0
2013,"Center Township--Indianapolis City (Central) PUMA, IN","79500US1802305",50560.0,138616.0,50560.0,1937.0,138616.0,648.0
2015,"Southwest Region PUMA, MS","79500US2801600",50469.0,174720.0,50469.0,2303.0,174720.0,465.0
2014,"Detroit City (South Central & Southeast) PUMA","79500US2603211",50451.0,123621.0,50451.0,2303.0,123621.0,2145.0
2013,"Kansas City (Central) PUMA, MO","79500US2901001",50301.0,163236.0,50301.0,2273.0,163236.0,1985.0
2015,"Brownsville City (Central) PUMA, TX","79500US4806703",50266.0,143145.0,50266.0,2230.0,143145.0,1967.0
2014,"Toledo City (East) PUMA, OH","79500US3900500",50251.0,138298.0,50251.0,2236.0,138298.0,1645.0
2013,"Carolina Municipio (Norte) PUMA, PR","79500US7200901",50216.0,168991.0,50216.0,2402.0,168991.0,673.0
2014,"Austin, Belmont Cragin & Montclare PUMA, IL","79500US1703521",50118.0,189834.0,50118.0,2869.0,189834.0,3995.0
2014,"Tallahassee City (Central) PUMA, FL","79500US1207301",50104.0,127882.0,50104.0,1877.0,127882.0,1568.0
2014,"Kansas City (Central) PUMA, MO","79500US2901001",50011.0,162030.0,50011.0,2093.0,162030.0,1885.0
2015,"Toledo City (East) PUMA, OH","79500US3900500",49822.0,136813.0,49822.0,1880.0,136813.0,1594.0
2013,"Detroit City (South Central & Southeast) PUMA","79500US2603211",49798.0,124222.0,49798.0,2074.0,124222.0,2347.0
2014,"Carolina Municipio (Norte) PUMA, PR","79500US7200901",49732.0,166090.0,49732.0,2439.0,166090.0,633.0
2013,"Memphis City (Central Riverside) PUMA, TN","79500US4703201",49725.0,136487.0,49725.0,2557.0,136487.0,2366.0
2013,"Concourse, Highbridge & Mount Eden PUMA, NY","79500US3603708",49676.0,137504.0,49676.0,2668.0,137504.0,3080.0
2015,"Carolina Municipio (Norte) PUMA, PR","79500US7200901",49503.0,162794.0,49503.0,2428.0,162794.0,614.0
2015,"Detroit City (Northeast) PUMA","79500US2603210",49501.0,118142.0,49501.0,2071.0,118142.0,2176.0
2015,"Hidalgo County (North & West) PUMA","79500US4806807",49487.0,105366.0,49487.0,2612.0,105366.0,2580.0
2014,"Hidalgo County (North & West) PUMA","79500US4806807",49344.0,105397.0,49344.0,3056.0,105397.0,2422.0
2015,"Kansas City (Central) PUMA, MO","79500US2901001",49139.0,162300.0,49139.0,2217.0,162300.0,1957.0
